,timestamp,packet_length,four_tuple
8442,1740992188.047292047,144,1290986427405367128
8443,1740992188.047313495,56,4318259406261654568
8444,1740992188.113622050,129,8342704663429939851
8445,1740992188.154369984,56,2274904381424489218
8446,1740992189.141336941,187,-3061772637988331940
8447,1740992189.141482569,1246,-3061772637988331940
8448,1740992189.141556797,1806,-3061772637988331940
8449,1740992189.141623501,62,-8617121821710749634
8450,1740992189.141623540,62,-8617121821710749634
8451,1740992189.141739609,62,-8617121821710749634
8452,1740992189.141739628,62,-8617121821710749634
8453,1740992189.246545466,187,-3061772637988331940
8454,1740992189.246674746,939,-3061772637988331940
8455,1740992189.246955954,62,-8617121821710749634
8456,1740992189.246956120,62,-8617121821710749634
8457,1740992189.255485820,241,7913549843078753958
8458,1740992189.255889029,62,2204066085779568804
8459,1740992189.279074292,104,-8617121821710749634
8460,1740992189.279092425,56,-3061772637988331940
8461,1740992189.304383990,187,-3061772637988331940
8462,1740992189.304473830,1246,-3061772637988331940
8463,1740992189.304688789,2010,-3061772637988331940
8464,1740992189.304803072,62,-8617121821710749634
8465,1740992189.304803364,62,-8617121821710749634
8466,1740992189.305094043,62,-8617121821710749634
8467,1740992189.305094166,62,-8617121821710749634
8468,1740992189.411381012,117,-8617121821710749634
8469,1740992189.414573315,536,-8617121821710749634
8470,1740992189.414733782,56,-3061772637988331940
8471,1740992189.417428662,536,-8617121821710749634
8472,1740992189.439476438,104,-8617121821710749634
8473,1740992189.439565586,56,-3061772637988331940
8474,1740992189.469052632,5800,2204066085779568804
8475,1740992189.469052872,2928,2204066085779568804
8476,1740992189.469103741,56,7913549843078753958
8477,1740992189.469127707,56,7913549843078753958
8478,1740992189.470214329,11870,2204066085779568804
8479,1740992189.470226398,56,7913549843078753958
8480,1740992189.472245630,6337,2204066085779568804
8481,1740992189.472256451,56,7913549843078753958
8482,1740992189.495517940,228,8073980214501698185
8483,1740992189.495683130,157,8073980214501698185
8484,1740992189.495750096,155,8073980214501698185
8485,1740992189.495822860,155,8073980214501698185
8486,1740992189.495883218,62,59413444695554920
8487,1740992189.495883252,62,59413444695554920
8488,1740992189.495883270,62,59413444695554920
8489,1740992189.495883288,62,59413444695554920
8490,1740992189.495956752,147,8073980214501698185
8491,1740992189.496118599,62,59413444695554920
8492,1740992189.496165037,156,8073980214501698185
